conditioning,checkpoint,remaining_range_definition,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance,condition_value
TIME_ONLY,03AM,final_range_minus_delivered_range,442,47.8341628959276,42.800000000001724,17.92999999999956,28.099999999998126,42.800000000001724,61.24999999999935,83.63999999999795,33.15000000000123,16.34999999999941,783.8856881001564,
tier,03AM,,232,47.51077586206889,42.800000000001724,20.919999999999384,29.94999999999859,42.800000000001724,59.1750000000013,79.07000000000264,29.22500000000271,14.800000000001479,678.7638062945854,1.0
tier,03AM,,139,47.962589928057675,43.100000000000364,16.160000000000174,27.300000000001212,43.100000000000364,66.0000000000005,85.36000000000142,38.699999999999285,18.19999999999933,759.1765860980198,2.0
tier,03AM,,61,48.18852459016394,40.19999999999912,15.300000000000317,27.5000000000003,40.19999999999912,60.80000000000085,88.30000000000115,33.30000000000055,16.700000000000607,1223.813474872344,3.0
initial_3am_state,03AM,,10,51.39000000000004,49.5000000000001,18.209999999999397,27.15000000000023,49.5000000000001,71.87499999999957,94.47000000000006,44.72499999999934,26.6999999999995,866.5448999999893,AR_NO_GO_STATE
initial_3am_state,03AM,,56,47.95892857142837,38.64999999999897,21.34999999999998,29.64999999999995,38.64999999999897,62.17500000000042,80.54999999999923,32.525000000000475,13.999999999999568,842.3549202806015,BALANCED_ASIA
initial_3am_state,03AM,,10,67.08999999999988,42.099999999999355,12.730000000001018,22.499999999999744,42.099999999999355,99.49999999999848,133.24000000000044,76.99999999999874,26.999999999999247,3649.9189000000015,FULL_LOOP
initial_3am_state,03AM,,32,41.293750000000045,32.95000000000048,24.019999999997484,26.249999999999883,32.95000000000048,46.12500000000019,71.81999999999935,19.87500000000031,8.850000000002469,596.879960937506,ONE_SIDED_DOWN
initial_3am_state,03AM,,32,46.278124999999946,41.60000000000052,23.20999999999818,30.3500000000001,41.60000000000052,54.424999999999045,72.66999999999891,24.074999999998944,12.499999999999728,696.1367089843682,ONE_SIDED_UP
initial_3am_state,03AM,,29,43.44482758620714,36.89999999999971,17.200000000000767,26.200000000000664,36.89999999999971,59.20000000000147,78.19999999999938,33.0000000000008,16.399999999998634,547.7486801426745,OVER_COMPLETED
initial_3am_state,03AM,,273,48.388278388278394,44.50000000000064,17.959999999999532,28.900000000000592,44.50000000000064,62.69999999999998,83.3799999999978,33.799999999999386,16.40000000000307,699.4712179151697,PARTIAL_LOOP
loop_count,03AM,,10,51.39000000000004,49.5000000000001,18.209999999999397,27.15000000000023,49.5000000000001,71.87499999999957,94.47000000000006,44.72499999999934,26.6999999999995,866.5448999999893,0
loop_count,03AM,,1,55.59999999999788,55.59999999999788,55.59999999999788,55.59999999999788,55.59999999999788,55.59999999999788,55.59999999999788,0.0,0.0,0.0,8
loop_count,03AM,,1,38.000000000000256,38.000000000000256,38.000000000000256,38.000000000000256,38.000000000000256,38.000000000000256,38.000000000000256,0.0,0.0,0.0,10
loop_count,03AM,,1,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,0.0,0.0,0.0,11
loop_count,03AM,,2,20.09999999999956,20.09999999999956,12.099999999999556,15.099999999999557,20.09999999999956,25.099999999999564,28.099999999999568,10.000000000000007,10.000000000000007,100.00000000000014,12
loop_count,03AM,,2,62.80000000000063,62.80000000000063,25.68000000000081,39.60000000000074,62.80000000000063,86.00000000000051,99.92000000000044,46.39999999999977,46.39999999999978,2152.959999999979,13
loop_count,03AM,,3,20.866666666665697,21.10000000000056,14.939999999999287,17.249999999999766,21.10000000000056,24.599999999999064,26.699999999998166,7.349999999999298,6.999999999997009,36.04222222221571,14
loop_count,03AM,,6,51.36666666666604,45.59999999999897,22.999999999999687,33.60000000000029,45.59999999999897,57.59999999999932,85.49999999999946,23.999999999999027,14.699999999999712,905.2222222222148,15
loop_count,03AM,,5,60.81999999999964,61.29999999999968,44.55999999999971,48.39999999999955,61.29999999999968,68.70000000000154,77.6999999999992,20.300000000001987,12.900000000000126,218.853599999987,16
loop_count,03AM,,12,30.049999999999798,27.350000000001536,19.280000000001298,23.149999999999004,27.350000000001536,36.07499999999875,40.91999999999785,12.924999999999748,6.44999999999785,134.97249999998905,17
loop_count,03AM,,13,35.86923076923124,38.59999999999974,11.06000000000007,16.90000000000191,38.59999999999974,56.59999999999998,58.280000000001664,39.69999999999807,20.000000000002245,411.45136094674956,18
loop_count,03AM,,10,32.64999999999984,30.050000000000352,12.029999999999763,14.199999999999214,30.050000000000352,51.7749999999989,58.02000000000018,37.57499999999968,18.099999999999785,374.56649999998467,19
loop_count,03AM,,21,37.27619047619053,31.999999999998696,15.300000000000317,26.399999999999753,31.999999999998696,51.300000000000786,59.80000000000096,24.900000000001032,11.000000000001013,318.8618140589682,20
loop_count,03AM,,25,49.65600000000024,41.70000000000229,19.760000000000225,33.30000000000055,41.70000000000229,65.39999999999989,81.87999999999953,32.09999999999934,14.200000000001992,780.8288639999671,21
loop_count,03AM,,19,33.268421052631695,27.999999999999133,9.980000000000096,20.049999999999233,27.999999999999133,44.10000000000025,58.56000000000127,24.050000000001017,11.200000000000102,359.6284764542895,22
loop_count,03AM,,29,37.327586206896534,36.30000000000244,12.279999999999184,20.399999999998194,36.30000000000244,49.79999999999985,57.339999999998156,29.400000000001654,14.29999999999599,456.52958382877233,23
loop_count,03AM,,25,40.53199999999996,33.700000000000955,20.06000000000041,25.299999999999212,33.700000000000955,46.99999999999926,77.60000000000078,21.70000000000005,10.200000000000216,490.4501759999946,24
loop_count,03AM,,27,45.570370370370135,38.699999999998184,24.839999999997975,29.050000000000463,38.699999999998184,48.39999999999955,86.55999999999914,19.34999999999909,9.700000000001374,770.3339368998546,25
loop_count,03AM,,27,48.244444444444305,44.10000000000025,23.280000000000186,27.15000000000023,44.10000000000025,52.799999999999514,85.61999999999917,25.649999999999284,16.00000000000046,807.194320987638,26
loop_count,03AM,,31,47.92258064516122,41.19999999999901,17.099999999998783,28.150000000001228,41.19999999999901,63.49999999999966,75.7999999999992,35.34999999999843,19.19999999999922,904.417877211211,27
loop_count,03AM,,28,45.589285714285644,40.45000000000076,21.239999999999704,28.4249999999997,40.45000000000076,61.24999999999935,76.50000000000047,32.824999999999655,12.550000000000061,582.108099489796,28
loop_count,03AM,,17,63.98823529411731,65.8000000000003,26.540000000000674,39.59999999999964,65.8000000000003,79.10000000000305,83.53999999999972,39.50000000000341,16.00000000000268,1320.86339100344,29
loop_count,03AM,,23,47.45652173912989,50.99999999999882,23.199999999999218,32.74999999999917,50.99999999999882,59.249999999998465,69.96000000000046,26.499999999999297,13.799999999999372,314.4415879017051,30
loop_count,03AM,,25,61.448000000000484,61.80000000000074,36.87999999999958,41.29999999999967,61.80000000000074,74.70000000000087,87.18000000000092,33.4000000000012,16.899999999999693,381.94249600000484,31
loop_count,03AM,,18,45.67777777777774,40.85000000000005,22.309999999999384,33.100000000000904,40.85000000000005,55.00000000000004,70.15999999999936,21.89999999999914,12.250000000000313,478.1839506172872,32
loop_count,03AM,,12,76.36666666666717,74.79999999999932,28.590000000000558,51.899999999999714,74.79999999999932,86.45000000000124,93.32000000000095,34.550000000001525,17.300000000000097,2092.79722222222,33
loop_count,03AM,,15,67.28000000000065,49.20000000000257,36.34000000000093,42.90000000000016,49.20000000000257,97.8000000000001,118.57999999999923,54.899999999999935,12.900000000000126,1167.374933333305,34
loop_count,03AM,,9,54.78888888888885,55.200000000001914,22.539999999998894,45.70000000000184,55.200000000001914,74.69999999999865,78.49999999999912,28.99999999999681,19.49999999999674,538.9654320987589,35
loop_count,03AM,,9,60.62222222222264,59.400000000002784,36.460000000001266,43.10000000000035,59.400000000002784,67.39999999999968,92.82000000000102,24.29999999999933,16.300000000002434,463.56839506172906,36
loop_count,03AM,,3,58.40000000000142,59.20000000000147,39.52000000000222,46.90000000000194,59.20000000000147,70.30000000000092,76.96000000000058,23.399999999998983,22.199999999998894,365.3599999999681,37
loop_count,03AM,,5,44.33999999999915,47.399999999999665,27.639999999999443,40.299999999999784,47.399999999999665,50.09999999999958,58.85999999999835,9.799999999999798,7.099999999999881,221.08239999998676,38
loop_count,03AM,,2,69.94999999999862,69.94999999999862,62.86999999999843,65.5249999999985,69.94999999999862,74.37499999999875,77.02999999999882,8.85000000000025,8.85000000000025,78.32250000000442,39
loop_count,03AM,,3,52.56666666666687,47.20000000000057,34.8799999999998,39.500000000000085,47.20000000000057,62.9500000000005,72.40000000000046,23.450000000000415,15.400000000000968,381.0022222222331,40
loop_count,03AM,,2,67.05000000000072,67.05000000000072,37.489999999999796,48.575000000000145,67.05000000000072,85.5250000000013,96.61000000000165,36.950000000001154,36.950000000001154,1365.3025000000853,42
loop_count,03AM,,1,149.39999999999952,149.39999999999952,149.39999999999952,149.39999999999952,149.39999999999952,149.39999999999952,149.39999999999952,0.0,0.0,0.0,43
