checkpoint,model,condition,n,quantile,prediction
03AM,B0,ALL,442,0.1,17.92999999999956
03AM,B0,ALL,442,0.25,28.099999999998126
03AM,B0,ALL,442,0.5,42.800000000001724
03AM,B0,ALL,442,0.75,61.24999999999935
03AM,B0,ALL,442,0.9,83.63999999999795
03AM,B1_TIER,MISSING,10,0.1,18.209999999999397
03AM,B1_TIER,MISSING,10,0.25,27.15000000000023
03AM,B1_TIER,MISSING,10,0.5,49.5000000000001
03AM,B1_TIER,MISSING,10,0.75,71.87499999999957
03AM,B1_TIER,MISSING,10,0.9,94.47000000000006
03AM,B1_TIER,T1,232,0.1,20.919999999999384
03AM,B1_TIER,T1,232,0.25,29.94999999999859
03AM,B1_TIER,T1,232,0.5,42.800000000001724
03AM,B1_TIER,T1,232,0.75,59.1750000000013
03AM,B1_TIER,T1,232,0.9,79.07000000000264
03AM,B1_TIER,T2,139,0.1,16.160000000000174
03AM,B1_TIER,T2,139,0.25,27.300000000001212
03AM,B1_TIER,T2,139,0.5,43.100000000000364
03AM,B1_TIER,T2,139,0.75,66.0000000000005
03AM,B1_TIER,T2,139,0.9,85.36000000000142
03AM,B1_TIER,T3,61,0.1,15.300000000000317
03AM,B1_TIER,T3,61,0.25,27.5000000000003
03AM,B1_TIER,T3,61,0.5,40.19999999999912
03AM,B1_TIER,T3,61,0.75,60.80000000000085
03AM,B1_TIER,T3,61,0.9,88.30000000000115
03AM,B2_TIER_CHECKPOINT,MISSING,10,0.1,18.209999999999397
03AM,B2_TIER_CHECKPOINT,MISSING,10,0.25,27.15000000000023
03AM,B2_TIER_CHECKPOINT,MISSING,10,0.5,49.5000000000001
03AM,B2_TIER_CHECKPOINT,MISSING,10,0.75,71.87499999999957
03AM,B2_TIER_CHECKPOINT,MISSING,10,0.9,94.47000000000006
03AM,B2_TIER_CHECKPOINT,T1,232,0.1,20.919999999999384
03AM,B2_TIER_CHECKPOINT,T1,232,0.25,29.94999999999859
03AM,B2_TIER_CHECKPOINT,T1,232,0.5,42.800000000001724
03AM,B2_TIER_CHECKPOINT,T1,232,0.75,59.1750000000013
03AM,B2_TIER_CHECKPOINT,T1,232,0.9,79.07000000000264
03AM,B2_TIER_CHECKPOINT,T2,139,0.1,16.160000000000174
03AM,B2_TIER_CHECKPOINT,T2,139,0.25,27.300000000001212
03AM,B2_TIER_CHECKPOINT,T2,139,0.5,43.100000000000364
03AM,B2_TIER_CHECKPOINT,T2,139,0.75,66.0000000000005
03AM,B2_TIER_CHECKPOINT,T2,139,0.9,85.36000000000142
03AM,B2_TIER_CHECKPOINT,T3,61,0.1,15.300000000000317
03AM,B2_TIER_CHECKPOINT,T3,61,0.25,27.5000000000003
03AM,B2_TIER_CHECKPOINT,T3,61,0.5,40.19999999999912
03AM,B2_TIER_CHECKPOINT,T3,61,0.75,60.80000000000085
03AM,B2_TIER_CHECKPOINT,T3,61,0.9,88.30000000000115
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,0.1,18.209999999999397
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,0.25,27.15000000000023
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,0.5,49.5000000000001
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,0.75,71.87499999999957
03AM,B3_TIER_STATE,MISSING|AR_NO_GO_STATE,10,0.9,94.47000000000006
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,0.1,21.300000000000093
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,0.25,29.200000000000333
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,0.5,38.699999999998184
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,0.75,62.5500000000001
03AM,B3_TIER_STATE,T1|BALANCED_ASIA,55,0.9,80.69999999999888
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,0.1,22.85999999999788
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,0.25,26.249999999999883
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,0.5,32.95000000000048
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,0.75,46.12500000000019
03AM,B3_TIER_STATE,T1|ONE_SIDED_DOWN,28,0.9,64.13999999999965
03AM,B3_TIER_STATE,T1|ONE_SIDED_UP,29,0.1,26.78000000000136
