date,AFTERNOON,ASIA,LONDON,NEXT_ASIA,OVERLAP,REST_NY,RV_19_TO_17,RV_19_TO_NEXT_03,RV_24H_19_TO_19,share_17,share_next03,share_24h,range_share_17,range_share_next03
2023-01-03,9.92095324444032e-06,1.1278984544277281e-05,1.8488404994206404e-05,3.4232757627066176e-06,9.515860914522165e-06,1.521225268985873e-06,4.920420369744617e-05,5.414870472913866e-05,5.0725428966432044e-05,0.20162816383420598,0.18321681550956154,0.1955814558218047,0.15070328198259111,0.12538311507384078
2023-01-04,8.79140432135941e-06,3.4232757627066176e-06,1.4876065721525217e-05,5.048879134022065e-06,6.782158887202304e-06,4.5511191206752055e-07,3.387290469279355e-05,3.9376895738883135e-05,3.432801660486107e-05,0.2595409044807952,0.22326301137746227,0.2560999787012015,0.2297226582940907,0.18906115417743805
2023-01-05,9.810371383165907e-06,5.048879134022065e-06,7.988630465088683e-06,3.3854714024494245e-06,1.4776780341264537e-05,2.472900011461938e-07,3.7624661323541194e-05,4.125742272713681e-05,3.7871951324687385e-05,0.26074311470353895,0.23778439695684617,0.25904055745791144,0.24940277114190032,0.20854974031162526
2023-01-06,2.3541094569912913e-05,3.3854714024494245e-06,8.11931456824889e-06,,2.0226085996845173e-05,2.624652955384053e-07,5.52719665374564e-05,5.5534431832994805e-05,5.5534431832994805e-05,0.4259138229496451,0.42390088082122745,0.42390088082122745,0.49878640776699135,0.486966824644552
2023-01-09,5.75294684907091e-06,5.20438272149888e-06,7.495807841123553e-06,4.626925937766773e-06,7.552776242644729e-06,1.3246781963423136e-06,2.600591365433807e-05,3.1957517788447155e-05,2.7330591850680384e-05,0.2212168711138997,0.18001857613455313,0.21049477744579806,0.17174369747898596,0.1369346733668286
2023-01-10,4.832499574976569e-06,4.626925937766773e-06,6.805753585018378e-06,2.7849633276116286e-06,6.727078506704332e-06,9.391811246038885e-07,2.299225760446605e-05,2.6716402056681567e-05,2.3931438729069938e-05,0.21017942901082914,0.18088137634416226,0.2019310092337427,0.23805913570886372,0.1778029445073567
2023-01-11,8.391087612612747e-06,2.7849633276116286e-06,5.545642992650498e-06,4.05590521573588e-06,6.881474883052329e-06,4.4562720096834406e-07,2.3603168815927204e-05,2.8104701232631427e-05,2.4048796016895548e-05,0.35550682529332744,0.29856526647115306,0.3489192393131683,0.2642007926023793,0.21063717746182398
2023-01-12,1.2620929532914217e-05,4.05590521573588e-06,4.731762669558591e-06,5.579782139938118e-06,4.7867330496271735e-05,5.731271061562615e-07,6.927592791448042e-05,7.54288371605748e-05,6.984905502063668e-05,0.18218347863192064,0.16732233994336232,0.18068862247578588,0.37046352856629355,0.31394640682095143
2023-01-13,5.562138880700405e-06,5.579782139938118e-06,7.572042243582561e-06,,1.0063099765872979e-05,3.563360400950158e-07,2.8777063030094066e-05,2.9133399070189082e-05,2.9133399070189082e-05,0.19328375779292387,0.19091966808610036,0.19091966808610036,0.22052785923753568,0.20970440602342358
2023-01-16,1.6268931547644887e-06,5.686069543079699e-06,6.278155710088045e-06,6.165041905483196e-06,3.210460065554043e-06,1.4750319238248668e-07,1.6801578473486276e-05,2.311412357135196e-05,1.6949081665868763e-05,0.09682978044781963,0.07038524085684512,0.09598709752166969,0.11419753086419186,0.09409969481179584
