side,model,n,log_loss,brier,conditional_G_spearman
UP,D0_gap,422,0.4879602700113179,0.1567966980785554,
UP,D1_gap_atr,422,0.487348746261957,0.15772813241844152,
UP,D2_mr_atr,422,0.6659045675928852,0.23661671845713467,
UP,D3_tier,422,0.6716396411924292,0.23927447250317238,
UP,D4_rlock,422,0.4876542875282081,0.15687929814007084,-0.11878847007654514
DN,D0_gap,422,0.5538005293320332,0.18432594093638618,
DN,D1_gap_atr,422,0.5493263793682487,0.1836636564032864,
DN,D2_mr_atr,422,0.6885149173604704,0.24764773081389824,
DN,D3_tier,422,0.6904685685617183,0.2486015036941719,
DN,D4_rlock,422,0.5611013104808373,0.1887452528590915,-0.15262547731364376
