alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H0,1.0,block,0.25,0.5,0.16503860557695937,0.019612273539200607,0.023599233313537357,0.0,0.0,0.0,8.415067495723207,OK,6.993388445474937,OK
A0_50_50,H0,1.0,block,0.5,0.75,0.18765657286755866,0.019307348546776237,0.023167046079859123,0.0,0.0,0.0,9.719437778466574,OK,8.100151060290022,OK
A0_50_50,H0,1.0,block,0.75,1.0,0.2130982853401906,0.01904667910073783,0.022729803569383936,0.0045,0.0,0.0,11.18821208742555,OK,9.375280551356141,OK
A0_50_50,H0,1.0,block,1.0,1.5,0.5160662033114479,0.03727746474344473,0.04412469308901612,0.1251,0.0,1.0,13.8439190235489,OK,11.695632698687515,OK
A0_50_50,H0,1.0,block,1.5,2.0,0.6627443850659394,0.0361156634752189,0.0427189707203974,0.37800000000000006,0.0025,0.0,18.350608054610092,OK,15.514053215460384,OK
A0_50_50,H0,1.0,block,2.0,3.0,1.9312927439827166,0.06887068356607431,0.08145152590892774,0.4846999999999999,0.1006,1.0,28.042305433629686,OK,23.710946141661314,OK
A0_50_50,H0,1.0,episode,0.25,0.5,0.16462659950694636,0.020917720571064398,0.025572747508387672,0.0,0.0,0.0,7.870197851991353,OK,6.437579671599622,OK
A0_50_50,H0,1.0,episode,0.5,0.75,0.18711169051547494,0.020549277528633052,0.02503756629696715,0.0007,0.0,0.0,9.105511872850826,OK,7.4732379455802045,OK
A0_50_50,H0,1.0,episode,0.75,1.0,0.21247988689597763,0.020239162704559346,0.024524778220715346,0.011000000000000001,0.0,0.0,10.498452430945257,OK,8.663886171924778,OK
A0_50_50,H0,1.0,episode,1.0,1.5,0.5144868879924666,0.03942256302120013,0.047538723584903686,0.17370000000000002,0.0004,0.0,13.050569231528472,OK,10.822480058253943,OK
A0_50_50,H0,1.0,episode,1.5,2.0,0.6600637836242171,0.03831790443362322,0.04565395550012838,0.41879999999999995,0.008,1.0,17.225988565413925,OK,14.457975796256274,OK
A0_50_50,H0,1.0,episode,2.0,3.0,1.9212003943818334,0.0728146056471756,0.08669333931528486,0.3829,0.14170000000000002,1.0,26.38482179922861,OK,22.16087659739169,OK
A0_50_50,H0,1.0,iid,0.25,0.5,0.16564273391502216,0.018883663254522304,0.023270601701571653,0.0,0.0,0.0,8.771747922128068,OK,7.118111342339504,OK
A0_50_50,H0,1.0,iid,0.5,0.75,0.18840150126379407,0.0185670497833094,0.02277954365489933,0.0005,0.0,0.0,10.147088711592462,OK,8.270644228786974,OK
A0_50_50,H0,1.0,iid,0.75,1.0,0.21414463637948844,0.018349219661883076,0.02229751498206735,0.0045000000000000005,0.0,1.0,11.670503723072875,OK,9.603968718115587,OK
A0_50_50,H0,1.0,iid,1.0,1.5,0.5189847141383905,0.03581012209538589,0.043181426772853276,0.095,0.0005,0.0,14.492682062239082,OK,12.018702320059951,OK
A0_50_50,H0,1.0,iid,1.5,2.0,0.6674189995822504,0.03469696784452175,0.04135150570489074,0.3345,0.0015,1.0,19.235657783497874,OK,16.140137782293937,OK
A0_50_50,H0,1.0,iid,2.0,3.0,1.9467766720584345,0.06621572668953646,0.07749086774680827,0.527,0.0775,0.0,29.400518115374968,OK,25.12265933605601,OK
