alloc_id,heat_id,edge,scheme,knee_interval,knee_condition,is_recommendation_alloc
A0_50_50,H0,1.0,block,,NOT_FOUND,True
A0_50_50,H0,1.0,episode,,NOT_FOUND,True
A0_50_50,H0,0.75,block,,NOT_FOUND,True
A0_50_50,H0,0.75,episode,,NOT_FOUND,True
A0_50_50,H0,0.5,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H0,0.5,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H0,0.25,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H0,0.25,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.00-REJ,1.0,block,,NOT_FOUND,True
A0_50_50,H1-1.00-REJ,1.0,episode,,NOT_FOUND,True
A0_50_50,H1-1.00-REJ,0.75,block,,NOT_FOUND,True
A0_50_50,H1-1.00-REJ,0.75,episode,,NOT_FOUND,True
A0_50_50,H1-1.00-REJ,0.5,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.00-REJ,0.5,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.00-REJ,0.25,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.00-REJ,0.25,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.50-REJ,1.0,block,,NOT_FOUND,True
A0_50_50,H1-1.50-REJ,1.0,episode,,NOT_FOUND,True
A0_50_50,H1-1.50-REJ,0.75,block,,NOT_FOUND,True
A0_50_50,H1-1.50-REJ,0.75,episode,,NOT_FOUND,True
A0_50_50,H1-1.50-REJ,0.5,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.50-REJ,0.5,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.50-REJ,0.25,block,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-1.50-REJ,0.25,episode,"[1.00, 1.50]",FOUND,True
A0_50_50,H1-2.00-REJ,1.0,block,,NOT_FOUND,True
A0_50_50,H1-2.00-REJ,1.0,episode,,NOT_FOUND,True
A0_50_50,H1-2.00-REJ,0.75,block,,NOT_FOUND,True
A0_50_50,H1-2.00-REJ,0.75,episode,,NOT_FOUND,True
