component,t_pos,delay_bars,max_abs_diff
volatility/close_to_close,1163,0,0.0
volatility/ewma,1163,0,0.0
volatility/parkinson,1163,0,0.0
volatility/garman_klass,1163,0,0.0
volatility/atr_normalized,1163,0,0.0
volatility/mad,1163,0,0.0
volatility/garch,1163,0,0.0
coordinates/morphic,1163,0,0.0
coordinates/frozen_sigma,1163,0,0.0
sigma_states/classification,1163,0,0.0
acceptance/occupancy,1163,0,0.0
rekey/RKEY_A,1163,0,0.0
rekey/RKEY_C,1163,0,0.0
anchors/pivot_confirmed,1163,5,0.0
volatility/close_to_close,2326,0,0.0
volatility/ewma,2326,0,0.0
volatility/parkinson,2326,0,0.0
volatility/garman_klass,2326,0,0.0
volatility/atr_normalized,2326,0,0.0
volatility/mad,2326,0,0.0
volatility/garch,2326,0,0.0
coordinates/morphic,2326,0,0.0
coordinates/frozen_sigma,2326,0,0.0
sigma_states/classification,2326,0,0.0
acceptance/occupancy,2326,0,0.0
rekey/RKEY_A,2326,0,0.0
rekey/RKEY_C,2326,0,0.0
anchors/pivot_confirmed,2326,5,0.0
volatility/close_to_close,3489,0,0.0
volatility/ewma,3489,0,0.0
volatility/parkinson,3489,0,0.0
volatility/garman_klass,3489,0,0.0
volatility/atr_normalized,3489,0,0.0
volatility/mad,3489,0,0.0
volatility/garch,3489,0,0.0
coordinates/morphic,3489,0,0.0
coordinates/frozen_sigma,3489,0,0.0
sigma_states/classification,3489,0,0.0
acceptance/occupancy,3489,0,0.0
rekey/RKEY_A,3489,0,0.0
rekey/RKEY_C,3489,0,0.0
anchors/pivot_confirmed,3489,5,0.0
