event_id,direction,family,known_pos,rkey_a_any,rkey_a_time_to,rkey_b_any,rkey_b_time_to,rkey_c_any,rkey_c_time_to
LONG_s1sigma_A1_e0,+,LONG_s1sigma,20,True,30.0,True,1.0,True,8.0
LONG_s2sigma_A1_e0,+,LONG_s2sigma,20,True,30.0,True,1.0,True,8.0
LONG_s3sigma_A1_e0,+,LONG_s3sigma,20,True,30.0,True,1.0,True,8.0
SHORT_s1sigma_A1_e0,-,SHORT_s1sigma,20,True,2.0,True,3.0,True,10.0
SHORT_s1sigma_A1_e1,-,SHORT_s1sigma,22,True,5.0,True,1.0,True,8.0
SHORT_s1sigma_A1_e4,-,SHORT_s1sigma,27,True,7.0,True,1.0,True,3.0
SHORT_s2sigma_A1_e1,-,SHORT_s2sigma,30,True,4.0,True,1.0,True,1.0
SHORT_s3sigma_A1_e0,-,SHORT_s3sigma,31,True,3.0,True,1.0,True,1.0
SHORT_s1sigma_A1_e5,-,SHORT_s1sigma,34,False,,True,1.0,True,3.0
SHORT_s2sigma_A1_e2,-,SHORT_s2sigma,34,False,,True,1.0,True,3.0
SHORT_s3sigma_A1_e2,-,SHORT_s3sigma,35,False,,True,1.0,True,2.0
LONG_s3sigma_A1_e1,+,LONG_s3sigma,36,True,14.0,True,1.0,True,3.0
SHORT_s3sigma_A1_e3,-,SHORT_s3sigma,37,False,,True,1.0,True,6.0
SHORT_s3sigma_A1_e7,-,SHORT_s3sigma,43,True,44.0,True,1.0,True,2.0
LONG_s1sigma_A1_e3,+,LONG_s1sigma,50,True,6.0,True,2.0,True,8.0
LONG_s1sigma_A1_e5,+,LONG_s1sigma,56,True,7.0,True,1.0,True,2.0
LONG_s2sigma_A1_e4,+,LONG_s2sigma,58,True,5.0,True,1.0,True,1.0
LONG_s3sigma_A1_e5,+,LONG_s3sigma,59,True,4.0,True,1.0,True,1.0
LONG_s1sigma_A1_e7,+,LONG_s1sigma,63,True,17.0,True,13.0,True,20.0
LONG_s2sigma_A1_e5,+,LONG_s2sigma,63,True,17.0,True,13.0,True,20.0
LONG_s1sigma_A1_e10,+,LONG_s1sigma,80,False,,True,1.0,True,3.0
LONG_s2sigma_A1_e7,+,LONG_s2sigma,81,False,,True,1.0,True,2.0
LONG_s3sigma_A1_e8,+,LONG_s3sigma,81,False,,True,1.0,True,2.0
