variant,horizon,n,survival_prob,n_survived
A0,1,3995,0.4330413016270338,1730
A0,2,3995,0.341927409261577,1366
A0,3,3995,0.2956195244055069,1181
A0,4,3995,0.2658322903629537,1062
A0,5,3995,0.2453066332916145,980
A0,6,3995,0.22728410513141425,908
A0,7,3995,0.2157697121401752,862
A0,8,3995,0.20901126408010012,835
A0,9,3995,0.19924906132665832,796
A0,10,3995,0.1902377972465582,760
A0,11,3995,0.18247809762202755,729
A0,12,3995,0.176720901126408,706
A0,13,3995,0.17196495619524405,687
A0,14,3995,0.16871088861076344,674
A0,15,3995,0.16570713391739675,662
A0,16,3995,0.15919899874843554,636
A0,17,3995,0.15444305381727158,617
A0,18,3995,0.14993742177722152,599
A0,19,3995,0.14568210262828535,582
A0,20,3995,0.14217772215269087,568
A0,21,3995,0.13917396745932414,556
A0,22,3995,0.1341677096370463,536
A0,23,3995,0.1311639549436796,524
A0,24,3995,0.12816020025031288,512
A1,1,1648,0.7002427184466019,1154
A1,2,1648,0.5764563106796117,950
A1,3,1648,0.5012135922330098,826
A1,4,1648,0.4532766990291262,747
A1,5,1648,0.4192961165048544,691
A1,6,1648,0.3883495145631068,640
A1,7,1648,0.3695388349514563,609
A1,8,1648,0.3561893203883495,587
A1,9,1648,0.34101941747572817,562
A1,10,1648,0.3246359223300971,535
A1,11,1648,0.3118932038834951,514
A1,12,1648,0.29975728155339804,494
A1,13,1648,0.2912621359223301,480
A1,14,1648,0.28822815533980584,475
A1,15,1648,0.2827669902912621,466
A1,16,1648,0.27184466019417475,448
A1,17,1648,0.2645631067961165,436
A1,18,1648,0.25788834951456313,425
A1,19,1648,0.24939320388349515,411
A1,20,1648,0.24635922330097088,406
A1,21,1648,0.2408980582524272,397
A1,22,1648,0.2342233009708738,386
A1,23,1648,0.22815533980582525,376
A1,24,1648,0.22390776699029127,369
A2_2of3,1,1170,0.8256410256410256,966
A2_2of3,2,1170,0.7188034188034188,841
A2_2of3,3,1170,0.6504273504273504,761
A2_2of3,4,1170,0.6008547008547008,703
A2_2of3,5,1170,0.5547008547008547,649
A2_2of3,6,1170,0.5273504273504274,617
A2_2of3,7,1170,0.5085470085470085,595
A2_2of3,8,1170,0.48547008547008547,568
