event_id,variant,direction,boundary_id,boundary_value,state_event_time,evidence_complete_time,acceptance_known_time,event_time,known_time,action_time,price_at_event,price_at_known,sigma_state,morphic_coordinate,volatility_state,anchor_type,anchor_value,distance_from_boundary,evidence_window,accepted,rejection_reason,episode_id,episode_start,episode_end,sigma_level,state_event_time_iso,evidence_complete_time_iso,acceptance_known_time_iso
LONG_s1sigma_A0_e0,A0,+,LONG_s1sigma,1.0883347369444203,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,3.0702513961031235,0,False,baseline_touch,0,20,47,1,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s1sigma_A1_e0,A1,+,LONG_s1sigma,1.0883347369444203,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,3.0702513961031235,0,True,criteria_met,0,20,47,1,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s2sigma_A0_e0,A0,+,LONG_s2sigma,1.089150084265007,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,2.0702513961031235,0,False,baseline_touch,0,20,45,2,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s2sigma_A1_e0,A1,+,LONG_s2sigma,1.089150084265007,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,2.0702513961031235,0,True,criteria_met,0,20,45,2,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s3sigma_A0_e0,A0,+,LONG_s3sigma,1.0899660424190356,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,1.0702513961031235,0,False,baseline_touch,0,20,35,3,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s3sigma_A1_e0,A1,+,LONG_s3sigma,1.0899660424190356,20,20,20,20,20,21,1.09084,1.09084,4,4.0702513961031235,NORMAL,pivot_low,1.08752,1.0702513961031235,0,True,criteria_met,0,20,35,3,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
SHORT_s1sigma_A0_e0,A0,-,SHORT_s1sigma,1.0909926614431282,20,20,20,20,20,21,1.09084,1.09084,1,-1.1868617419772955,NORMAL,pivot_high,1.09181,0.18686174197729555,0,False,baseline_touch,0,20,21,1,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
SHORT_s1sigma_A1_e0,A1,-,SHORT_s1sigma,1.0909926614431282,20,20,20,20,20,21,1.09084,1.09084,1,-1.1868617419772955,NORMAL,pivot_high,1.09181,0.18686174197729555,0,True,criteria_met,0,20,21,1,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00
LONG_s1sigma_A2_2of3_e0,A2_2of3,+,LONG_s1sigma,1.088336138719798,20,21,21,20,21,22,1.09084,1.09116,4,4.454249254374608,NORMAL,pivot_low,1.08752,3.4542492543746084,1,True,criteria_met,0,20,47,1,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00
LONG_s1sigma_A3_n2_e0,A3_n2,+,LONG_s1sigma,1.088336138719798,20,21,21,20,21,22,1.09084,1.09116,4,4.454249254374608,NORMAL,pivot_low,1.08752,3.4542492543746084,1,True,criteria_met,0,20,47,1,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00
LONG_s2sigma_A2_2of3_e0,A2_2of3,+,LONG_s2sigma,1.0891528899179042,20,21,21,20,21,22,1.09084,1.09116,4,4.454249254374608,NORMAL,pivot_low,1.08752,2.4542492543746084,1,True,criteria_met,0,20,45,2,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00
LONG_s2sigma_A3_n2_e0,A3_n2,+,LONG_s2sigma,1.0891528899179042,20,21,21,20,21,22,1.09084,1.09116,4,4.454249254374608,NORMAL,pivot_low,1.08752,2.4542492543746084,1,True,criteria_met,0,20,45,2,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00
