variant,status
A0,REDUNDANT|UNSTABLE|VALIDATED_CONFIRMATION
A1,VALIDATED_CONFIRMATION
A2_2of3,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A2_3of4,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A2_3of5,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A3_n2,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A3_n3,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A3_n4,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A4_R1,VALIDATED_CONFIRMATION|VALIDATED_DEVELOPMENT
A4_R2,VALIDATED_CONFIRMATION
A5,REJECTED|VALIDATED_CONFIRMATION
