stage,boundary,direction,variant,n,n_crossings,coverage
development,1.0,-1,RKEY_A,101,101,1.0
development,1.0,-1,RKEY_B,122,101,1.2079207920792079
development,1.0,-1,RKEY_C,11,101,0.10891089108910891
development,1.0,1,RKEY_A,114,114,1.0
development,1.0,1,RKEY_B,124,114,1.087719298245614
development,1.0,1,RKEY_C,9,114,0.07894736842105263
development,2.0,-1,RKEY_A,50,50,1.0
development,2.0,-1,RKEY_B,57,50,1.14
development,2.0,-1,RKEY_C,0,50,0.0
development,2.0,1,RKEY_A,43,43,1.0
development,2.0,1,RKEY_B,44,43,1.0232558139534884
development,2.0,1,RKEY_C,3,43,0.06976744186046512
confirmation,1.0,-1,RKEY_A,69,69,1.0
confirmation,1.0,-1,RKEY_B,75,69,1.0869565217391304
confirmation,1.0,-1,RKEY_C,6,69,0.08695652173913043
confirmation,1.0,1,RKEY_A,98,98,1.0
confirmation,1.0,1,RKEY_B,95,98,0.9693877551020408
confirmation,1.0,1,RKEY_C,6,98,0.061224489795918366
confirmation,2.0,-1,RKEY_A,30,30,1.0
confirmation,2.0,-1,RKEY_B,31,30,1.0333333333333334
confirmation,2.0,-1,RKEY_C,0,30,0.0
confirmation,2.0,1,RKEY_A,41,41,1.0
confirmation,2.0,1,RKEY_B,39,41,0.9512195121951219
confirmation,2.0,1,RKEY_C,0,41,0.0
