triangle_id,year,events,net_ev,pf,net_pnl_total,win_rate
AUD_GBP_NZD_z2.5,2022,37,-96.95,0.28,-3587.00,16.2
AUD_GBP_NZD_z2.5,2023,107,-84.21,0.27,-9010.00,22.4
AUD_GBP_NZD_z2.5,2024,144,-102.16,0.09,-14711.00,12.5
AUD_GBP_NZD_z3.0,2022,24,-50.54,0.53,-1213.00,25.0
AUD_GBP_NZD_z3.0,2023,77,-53.01,0.44,-4082.00,31.2
AUD_GBP_NZD_z3.0,2024,105,-94.04,0.11,-9874.00,12.4
EUR_GBP_JPY_z2.5,2021,27,-91.56,0.20,-2472.00,7.4
EUR_GBP_JPY_z2.5,2022,84,-97.87,0.22,-8221.00,22.6
EUR_GBP_JPY_z2.5,2023,73,-67.32,0.29,-4914.00,24.7
EUR_GBP_JPY_z2.5,2024,105,-53.30,0.42,-5597.00,29.5
EUR_GBP_JPY_z3.0,2021,17,-117.53,0.00,-1998.00,5.9
EUR_GBP_JPY_z3.0,2022,49,-106.71,0.24,-5229.00,28.6
EUR_GBP_JPY_z3.0,2023,49,-70.12,0.31,-3436.00,30.6
EUR_GBP_JPY_z3.0,2024,81,-44.60,0.52,-3613.00,37.0
CHF_GBP_JPY_z2.5,2021,47,-143.23,0.60,-6732.00,51.1
CHF_GBP_JPY_z2.5,2022,274,-133.83,0.69,-36669.00,48.9
CHF_GBP_JPY_z2.5,2023,269,-48.00,0.84,-12912.00,55.0
CHF_GBP_JPY_z2.5,2024,252,-111.97,0.68,-28216.00,51.2
CHF_GBP_JPY_z3.0,2021,33,-144.36,0.64,-4764.00,48.5
CHF_GBP_JPY_z3.0,2022,201,-145.12,0.68,-29170.00,48.3
CHF_GBP_JPY_z3.0,2023,213,-63.54,0.79,-13535.00,53.5
CHF_GBP_JPY_z3.0,2024,183,-118.14,0.68,-21619.00,47.0
EUR_GBP_USD_z2.5,2023,260,174.75,5.70,45436.00,80.8
EUR_GBP_USD_z2.5,2024,259,120.15,3.59,31120.00,74.9
EUR_GBP_USD_z3.0,2023,176,188.42,5.53,33162.00,81.2
EUR_GBP_USD_z3.0,2024,179,143.93,3.98,25764.00,72.6
GBP_NZD_USD_z2.5,2022,42,59.14,1.39,2484.00,45.2
GBP_NZD_USD_z2.5,2023,131,9.76,1.08,1278.00,49.6
GBP_NZD_USD_z2.5,2024,135,-17.46,0.87,-2357.00,45.2
GBP_NZD_USD_z3.0,2022,29,119.17,1.89,3456.00,48.3
GBP_NZD_USD_z3.0,2023,99,16.60,1.13,1643.00,50.5
GBP_NZD_USD_z3.0,2024,110,-7.75,0.94,-853.00,46.4
